Concert,Phrase,Musician1,Musician2,Texture,Pair,F_M1_M2,p_M1_M2,F_M2_M1,p_M2_M1,p_M1_M2_Bin,p_M2_M1_Bin,avgF,Melody Instrument
BrahmsConcertPart1,File19,m4,m5,P,m4_m5,1.205463812,0.214479369,1.621273064,0.02248487,0,1,1.413368438,m1
BrahmsConcertPart1,File20,m1,m2,H,m1_m2,1.699980192,0.011528687,1.141795439,0.275860663,1,0,1.420887815,m5
BrahmsConcertPart1,File20,m1,m3,H,m1_m3,1.073517375,0.361788453,1.675830239,0.01360733,0,1,1.374673807,m5
BrahmsConcertPart1,File20,m1,m4,H,m1_m4,1.361990853,0.094719669,2.058629044,0.000792968,0,1,1.710309949,m5
BrahmsConcertPart1,File20,m1,m5,H,m1_m5,1.559067053,0.029410172,1.947181037,0.0018945,1,1,1.753124045,m5
BrahmsConcertPart1,File20,m2,m3,H,m2_m3,1.063149536,0.375965392,1.80043227,0.005662698,0,1,1.431790903,m5
BrahmsConcertPart1,File20,m2,m4,H,m2_m4,1.307881286,0.126343484,2.111194609,0.000520307,0,1,1.709537948,m5
BrahmsConcertPart1,File20,m2,m5,H,m2_m5,0.798666439,0.771191227,1.818230605,0.004975445,0,1,1.308448522,m5
BrahmsConcertPart1,File20,m3,m4,H,m3_m4,1.479217959,0.048257805,1.610344819,0.021101651,1,1,1.544781389,m5
BrahmsConcertPart1,File20,m3,m5,H,m3_m5,1.642227816,0.017077232,2.056459533,0.000806765,1,1,1.849343674,m5
BrahmsConcertPart1,File20,m4,m5,H,m4_m5,1.861870153,0.003608048,1.377229057,0.087099397,1,0,1.619549605,m5
BrahmsConcertPart1,File3,m1,m2,H,m1_m2,0.959870296,0.529139052,1.583009951,0.025526351,0,1,1.271440124,m5
BrahmsConcertPart1,File3,m1,m3,H,m1_m3,1.35897886,0.096844406,1.66979448,0.014394865,0,1,1.51438667,m5
BrahmsConcertPart1,File3,m1,m4,H,m1_m4,1.158380516,0.257619946,1.624082824,0.019533696,0,1,1.39123167,m5
BrahmsConcertPart1,File3,m1,m5,H,m1_m5,1.38335819,0.084716085,0.981093584,0.496423265,0,0,1.182225887,m5
BrahmsConcertPart1,File3,m2,m3,H,m2_m3,1.643552922,0.017168192,1.251875368,0.168001988,1,0,1.447714145,m5
BrahmsConcertPart1,File3,m2,m4,H,m2_m4,1.391926834,0.080767569,1.877780079,0.003282348,0,1,1.634853457,m5
BrahmsConcertPart1,File3,m2,m5,H,m2_m5,1.71901771,0.01027563,1.572352732,0.027332055,1,1,1.645685221,m5
BrahmsConcertPart1,File3,m3,m4,H,m3_m4,1.887956656,0.003042908,1.180698622,0.23374738,1,0,1.534327639,m5
BrahmsConcertPart1,File3,m3,m5,H,m3_m5,1.754886142,0.007995864,1.286740148,0.141386491,1,0,1.520813145,m5
BrahmsConcertPart1,File3,m4,m5,H,m4_m5,1.436316825,0.062716325,1.084834322,0.347032778,0,0,1.260575574,m5
BrahmsConcertPart2,File3,m1,m2,H,m1_m2,1.384592865,0.087180244,2.69119624,5.74E-06,0,1,2.037894552,m5
BrahmsConcertPart2,File3,m1,m3,H,m1_m3,1.846830621,0.004674291,2.655745013,7.77E-06,1,1,2.251287817,m5
BrahmsConcertPart2,File3,m1,m4,H,m1_m4,1.282459677,0.147840294,2.538019975,2.10E-05,0,1,1.910239826,m5
